image1,image2,plot_correlation
sample_11_crop.jpg,sample_12_crop.jpg,0.917842
sample_11_crop.jpg,sample_21_crop.jpg,0.855752
sample_11_crop.jpg,sample_22_crop.jpg,0.887375
sample_11_crop.jpg,sample_31_crop.jpg,0.923004
sample_11_crop.jpg,sample_32_crop.jpg,0.883906
sample_11_crop.jpg,sample_41_crop.jpg,0.902443
sample_11_crop.jpg,sample_42_crop.jpg,0.908828
sample_11_crop.jpg,sample_51_crop.jpg,0.876220
sample_11_crop.jpg,sample_52_crop.jpg,0.930867
sample_11_crop.jpg,sample_61_crop.jpg,0.914037
sample_11_crop.jpg,sample_62_crop.jpg,0.885980
sample_11_crop.jpg,sample_71_crop.jpg,0.933270
sample_11_crop.jpg,sample_72_crop.jpg,0.857560
sample_11_crop.jpg,sample_81_crop.jpg,0.930867
sample_11_crop.jpg,sample_82_crop.jpg,0.932624
sample_11_crop.jpg,sample_91_crop.jpg,0.890511
sample_11_crop.jpg,sample_92_crop.jpg,0.923528
sample_12_crop.jpg,sample_21_crop.jpg,0.887484
sample_12_crop.jpg,sample_22_crop.jpg,0.911310
sample_12_crop.jpg,sample_31_crop.jpg,0.901123
sample_12_crop.jpg,sample_32_crop.jpg,0.910781
sample_12_crop.jpg,sample_41_crop.jpg,0.922482
sample_12_crop.jpg,sample_42_crop.jpg,0.939575
sample_12_crop.jpg,sample_51_crop.jpg,0.891381
sample_12_crop.jpg,sample_52_crop.jpg,0.915816
sample_12_crop.jpg,sample_61_crop.jpg,0.932039
sample_12_crop.jpg,sample_62_crop.jpg,0.871001
sample_12_crop.jpg,sample_71_crop.jpg,0.919184
sample_12_crop.jpg,sample_72_crop.jpg,0.869777
sample_12_crop.jpg,sample_81_crop.jpg,0.923602
sample_12_crop.jpg,sample_82_crop.jpg,0.934123
sample_12_crop.jpg,sample_91_crop.jpg,0.942608
sample_12_crop.jpg,sample_92_crop.jpg,0.931842
sample_21_crop.jpg,sample_22_crop.jpg,0.945774
sample_21_crop.jpg,sample_31_crop.jpg,0.855469
sample_21_crop.jpg,sample_32_crop.jpg,0.943304
sample_21_crop.jpg,sample_41_crop.jpg,0.911047
sample_21_crop.jpg,sample_42_crop.jpg,0.910601
sample_21_crop.jpg,sample_51_crop.jpg,0.951172
sample_21_crop.jpg,sample_52_crop.jpg,0.913171
sample_21_crop.jpg,sample_61_crop.jpg,0.879810
sample_21_crop.jpg,sample_62_crop.jpg,0.854651
sample_21_crop.jpg,sample_71_crop.jpg,0.881406
sample_21_crop.jpg,sample_72_crop.jpg,0.936194
sample_21_crop.jpg,sample_81_crop.jpg,0.883903
sample_21_crop.jpg,sample_82_crop.jpg,0.879649
sample_21_crop.jpg,sample_91_crop.jpg,0.925403
sample_21_crop.jpg,sample_92_crop.jpg,0.893119
sample_22_crop.jpg,sample_31_crop.jpg,0.880313
sample_22_crop.jpg,sample_32_crop.jpg,0.937897
sample_22_crop.jpg,sample_41_crop.jpg,0.923228
sample_22_crop.jpg,sample_42_crop.jpg,0.927664
sample_22_crop.jpg,sample_51_crop.jpg,0.936981
sample_22_crop.jpg,sample_52_crop.jpg,0.938020
sample_22_crop.jpg,sample_61_crop.jpg,0.897767
sample_22_crop.jpg,sample_62_crop.jpg,0.865769
sample_22_crop.jpg,sample_71_crop.jpg,0.897461
sample_22_crop.jpg,sample_72_crop.jpg,0.902538
sample_22_crop.jpg,sample_81_crop.jpg,0.905809
sample_22_crop.jpg,sample_82_crop.jpg,0.912385
sample_22_crop.jpg,sample_91_crop.jpg,0.934636
sample_22_crop.jpg,sample_92_crop.jpg,0.903321
sample_31_crop.jpg,sample_32_crop.jpg,0.871946
sample_31_crop.jpg,sample_41_crop.jpg,0.889541
sample_31_crop.jpg,sample_42_crop.jpg,0.902785
sample_31_crop.jpg,sample_51_crop.jpg,0.868164
sample_31_crop.jpg,sample_52_crop.jpg,0.902439
sample_31_crop.jpg,sample_61_crop.jpg,0.905115
sample_31_crop.jpg,sample_62_crop.jpg,0.912989
sample_31_crop.jpg,sample_71_crop.jpg,0.921425
sample_31_crop.jpg,sample_72_crop.jpg,0.878717
sample_31_crop.jpg,sample_81_crop.jpg,0.926830
sample_31_crop.jpg,sample_82_crop.jpg,0.926616
sample_31_crop.jpg,sample_91_crop.jpg,0.889323
sample_31_crop.jpg,sample_92_crop.jpg,0.917521
sample_32_crop.jpg,sample_41_crop.jpg,0.937378
sample_32_crop.jpg,sample_42_crop.jpg,0.939853
sample_32_crop.jpg,sample_51_crop.jpg,0.934507
sample_32_crop.jpg,sample_52_crop.jpg,0.903322
sample_32_crop.jpg,sample_61_crop.jpg,0.909897
sample_32_crop.jpg,sample_62_crop.jpg,0.873979
sample_32_crop.jpg,sample_71_crop.jpg,0.900831
sample_32_crop.jpg,sample_72_crop.jpg,0.927358
sample_32_crop.jpg,sample_81_crop.jpg,0.874025
sample_32_crop.jpg,sample_82_crop.jpg,0.910872
sample_32_crop.jpg,sample_91_crop.jpg,0.926308
sample_32_crop.jpg,sample_92_crop.jpg,0.908648
sample_41_crop.jpg,sample_42_crop.jpg,0.956479
sample_41_crop.jpg,sample_51_crop.jpg,0.922777
sample_41_crop.jpg,sample_52_crop.jpg,0.909181
sample_41_crop.jpg,sample_61_crop.jpg,0.917690
sample_41_crop.jpg,sample_62_crop.jpg,0.876898
sample_41_crop.jpg,sample_71_crop.jpg,0.920372
sample_41_crop.jpg,sample_72_crop.jpg,0.894203
sample_41_crop.jpg,sample_81_crop.jpg,0.896486
sample_41_crop.jpg,sample_82_crop.jpg,0.924584
sample_41_crop.jpg,sample_91_crop.jpg,0.935093
sample_41_crop.jpg,sample_92_crop.jpg,0.921349
sample_42_crop.jpg,sample_51_crop.jpg,0.919394
sample_42_crop.jpg,sample_52_crop.jpg,0.917522
sample_42_crop.jpg,sample_61_crop.jpg,0.933795
sample_42_crop.jpg,sample_62_crop.jpg,0.887170
sample_42_crop.jpg,sample_71_crop.jpg,0.940430
sample_42_crop.jpg,sample_72_crop.jpg,0.903513
sample_42_crop.jpg,sample_81_crop.jpg,0.909713
sample_42_crop.jpg,sample_82_crop.jpg,0.943711
sample_42_crop.jpg,sample_91_crop.jpg,0.956099
sample_42_crop.jpg,sample_92_crop.jpg,0.933594
sample_51_crop.jpg,sample_52_crop.jpg,0.919025
sample_51_crop.jpg,sample_61_crop.jpg,0.891489
sample_51_crop.jpg,sample_62_crop.jpg,0.868263
sample_51_crop.jpg,sample_71_crop.jpg,0.907760
sample_51_crop.jpg,sample_72_crop.jpg,0.916710
sample_51_crop.jpg,sample_81_crop.jpg,0.900488
sample_51_crop.jpg,sample_82_crop.jpg,0.897262
sample_51_crop.jpg,sample_91_crop.jpg,0.921503
sample_51_crop.jpg,sample_92_crop.jpg,0.906784
sample_52_crop.jpg,sample_61_crop.jpg,0.896454
sample_52_crop.jpg,sample_62_crop.jpg,0.879073
sample_52_crop.jpg,sample_71_crop.jpg,0.917601
sample_52_crop.jpg,sample_72_crop.jpg,0.870074
sample_52_crop.jpg,sample_81_crop.jpg,0.933723
sample_52_crop.jpg,sample_82_crop.jpg,0.936465
sample_52_crop.jpg,sample_91_crop.jpg,0.932294
sample_52_crop.jpg,sample_92_crop.jpg,0.922477
sample_61_crop.jpg,sample_62_crop.jpg,0.904070
sample_61_crop.jpg,sample_71_crop.jpg,0.932883
sample_61_crop.jpg,sample_72_crop.jpg,0.897088
sample_61_crop.jpg,sample_81_crop.jpg,0.902288
sample_61_crop.jpg,sample_82_crop.jpg,0.925416
sample_61_crop.jpg,sample_91_crop.jpg,0.918369
sample_61_crop.jpg,sample_92_crop.jpg,0.929965
sample_62_crop.jpg,sample_71_crop.jpg,0.894079
sample_62_crop.jpg,sample_72_crop.jpg,0.876820
sample_62_crop.jpg,sample_81_crop.jpg,0.884901
sample_62_crop.jpg,sample_82_crop.jpg,0.895293
sample_62_crop.jpg,sample_91_crop.jpg,0.871848
sample_62_crop.jpg,sample_92_crop.jpg,0.891163
sample_71_crop.jpg,sample_72_crop.jpg,0.888999
sample_71_crop.jpg,sample_81_crop.jpg,0.934179
sample_71_crop.jpg,sample_82_crop.jpg,0.939856
sample_71_crop.jpg,sample_91_crop.jpg,0.923002
sample_71_crop.jpg,sample_92_crop.jpg,0.941464
sample_72_crop.jpg,sample_81_crop.jpg,0.859368
sample_72_crop.jpg,sample_82_crop.jpg,0.884342
sample_72_crop.jpg,sample_91_crop.jpg,0.885214
sample_72_crop.jpg,sample_92_crop.jpg,0.881209
sample_81_crop.jpg,sample_82_crop.jpg,0.923758
